N,run,seconds
1,1,0.01
1,2,0.02
1,3,0.00
1,4,0.00
1,5,0.00
1,6,0.00
1,7,0.00
1,8,0.00
1,9,0.00
1,10,0.02
2,1,0.01
2,2,0.04
2,3,0.03
2,4,0.01
2,5,0.01
2,6,0.00
2,7,0.02
2,8,0.01
2,9,0.01
2,10,0.01
3,1,0.01
3,2,0.02
3,3,0.02
3,4,0.01
3,5,0.04
3,6,0.02
3,7,0.01
3,8,0.02
3,9,0.01
3,10,0.01
4,1,0.02
4,2,0.01
4,3,0.02
4,4,0.01
4,5,0.02
4,6,0.02
4,7,0.01
4,8,0.02
4,9,0.01
4,10,0.01
5,1,0.02
5,2,0.02
5,3,0.02
5,4,0.03
5,5,0.01
5,6,0.02
5,7,0.03
5,8,0.02
5,9,0.02
5,10,0.02
6,1,0.04
6,2,0.03
6,3,0.03
6,4,0.03
6,5,0.02
6,6,0.02
6,7,0.02
6,8,0.04
6,9,0.02
6,10,0.02
7,1,0.03
7,2,0.03
7,3,0.03
7,4,0.03
7,5,0.04
7,6,0.04
7,7,0.03
7,8,0.03
7,9,0.03
7,10,0.03
8,1,0.07
8,2,0.05
8,3,0.03
8,4,0.04
8,5,0.05
8,6,0.06
8,7,0.05
8,8,0.07
8,9,0.09
8,10,0.03
9,1,0.05
9,2,0.08
9,3,0.04
9,4,0.04
9,5,0.03
9,6,0.05
9,7,0.05
9,8,0.08
9,9,0.05
9,10,0.04
10,1,0.05
10,2,0.04
10,3,0.05
10,4,0.07
10,5,0.04
10,6,0.04
10,7,0.05
10,8,0.04
10,9,0.04
10,10,0.04
11,1,0.04
11,2,0.05
11,3,0.06
11,4,0.05
11,5,0.05
11,6,0.05
11,7,0.06
11,8,0.06
11,9,0.06
11,10,0.06
12,1,0.04
12,2,0.05
12,3,0.06
12,4,0.05
12,5,0.06
12,6,0.11
12,7,0.11
12,8,0.07
12,9,0.07
12,10,0.06
13,1,0.08
13,2,0.09
13,3,0.08
13,4,0.07
13,5,0.11
13,6,0.16
13,7,0.09
13,8,0.08
13,9,0.11
13,10,0.07
14,1,0.09
14,2,0.09
14,3,0.12
14,4,0.08
14,5,0.07
14,6,0.06
14,7,0.07
14,8,0.11
14,9,0.09
14,10,0.11
15,1,0.11
15,2,0.09
15,3,0.09
15,4,0.07
15,5,0.07
15,6,0.08
15,7,0.09
15,8,0.08
15,9,0.09
15,10,0.07
16,1,0.06
16,2,0.08
16,3,0.07
16,4,0.07
16,5,0.07
16,6,0.10
16,7,0.09
16,8,0.07
16,9,0.09
16,10,0.12
17,1,0.11
17,2,0.08
17,3,0.07
17,4,0.08
17,5,0.10
17,6,0.10
17,7,0.06
17,8,0.11
17,9,0.07
17,10,0.07
18,1,0.11
18,2,0.10
18,3,0.12
18,4,0.09
18,5,0.11
18,6,0.08
18,7,0.09
18,8,0.09
18,9,0.09
18,10,0.10
19,1,0.10
19,2,0.08
19,3,0.09
19,4,0.10
19,5,0.11
19,6,0.10
19,7,0.08
19,8,0.11
19,9,0.08
19,10,0.11
20,1,0.09
20,2,0.08
20,3,0.11
20,4,0.12
20,5,0.10
20,6,0.09
20,7,0.08
20,8,0.12
20,9,0.08
20,10,0.08
